gene_id,D1_dNA,D2_dNA,D3_dNA,E1_dNA,E1_dPA,E2_dNA,E2_dPA,E3_dNA,E3_dPA,P1_dNA,P1_dP,P2_dNA,P2_dP,P3_dNA,P3_dP,T1_CD71A,T2_CD71A,T3_CD71A
MSTRG.54|Vxn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.52|Gm6161,44,51,57,86,99,72,90,82,78,52,37,53,30,64,45,63,50,51
MSTRG.53|Adhfe1,137,159,153,338,351,232,345,262,338,199,160,193,98,200,177,217,169,177
MSTRG.32|Sntg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33|Gm38024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34|Gm16284,0,2,4,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0
MSTRG.35|Gm38259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.36|Gm23358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37|Gm37005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.41|Gm6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.42|Gm7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.44|Gm37629,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MSTRG.45|Sntg1,40,51,53,16,12,5,6,19,19,54,87,42,82,65,149,13,12,8
MSTRG.47|Gm38008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.48|Gm37143,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MSTRG.38|Gm15452,69,76,102,123,60,74,67,62,62,74,14,77,6,81,27,104,70,73
MSTRG.39|Gm36964,16,14,16,24,20,24,21,19,15,12,23,25,14,10,29,10,22,19
MSTRG.40|Gm24276,2,1,5,7,2,1,3,1,3,1,2,5,1,1,1,3,2,2
MSTRG.43|Gm7493,2,3,1,5,3,2,6,2,6,2,3,15,0,3,3,1,5,8
MSTRG.46|Sntg1,5,3,4,6,3,6,1,3,3,10,22,12,19,18,25,2,2,2
MSTRG.55|Mybl1,402,546,556,174,110,196,98,126,81,323,58,185,71,320,127,410,373,549
MSTRG.57|1700034P13Rik,3,0,3,11,11,8,5,4,4,4,0,0,2,8,8,5,7,5
MSTRG.56|Vcpip1,2632,2481,2555,4026,3459,3772,3293,3469,3143,2625,2153,2517,1442,2434,2298,2691,2500,2802
MSTRG.61|Mcmdc2,3,19,17,7,23,15,15,19,15,14,26,19,18,20,9,3,20,0
MSTRG.62|Snhg6,397,380,465,567,668,512,750,515,693,354,275,328,189,356,309,671,506,509
MSTRG.62|Snord87,3,6,7,28,13,18,18,14,18,16,10,13,8,13,11,16,11,7
