"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"Trac",50.1181210282907,-7.81588787497129,1.50621559158833,-5.18245058580215,2.18989394773063e-07,4.88080552260049e-06,"Trac","100101484"
"Aldh3a1",13.83656762797,7.80694319550304,1.31135864266593,5.94569856164766,2.75280326087775e-09,1.02550570310975e-07,"Aldh3a1","11670"
"Tpsb2",11089.4336299391,7.80238666767082,0.523512014215214,14.8848287261415,4.13544130750127e-50,7.1508672608876e-47,"Tpsb2","17229"
"X4930570N18Rik",19.7148407598329,-7.7938490206056,3.08280051686788,-2.52492789527426,0.0115722030019866,0.0473896215297458,"X4930570N18Rik",NA
"Ighv2.6",112.693501928168,-7.7771523453725,1.57289920885684,-4.93811192836543,7.88825659489496e-07,1.48801203949155e-05,"Ighv2",NA
"Ighv8.5",35.4988147126241,-7.7320614452544,1.27494757185483,-6.05676783557471,1.38883808350801e-09,5.51020845751268e-08,"Ighv8",NA
"Igkv4.51",30.7066003945045,-7.70264291353908,3.02639869558208,-2.54184715476146,0.0110268381846423,0.0456503237953653,"Igkv4",NA
"Gm50367",16.0505458838064,-7.66764779248283,3.45637218106134,-2.21551597783414,0.0267246688863706,0.0916741410798792,"Gm50367",NA
"Igkv5.45",273.425590039173,-7.65150871611187,1.23961293835534,-6.1644312346806,7.07369281606956e-10,3.03347630928011e-08,"Igkv5",NA
"B3galt2",14.0304740604811,7.6477437598385,1.54872115330412,4.93164553447453,8.15397829814862e-07,1.53395330631536e-05,"B3galt2","26878"
"Dnah12",79.2206395160154,-7.63765808947857,1.24005070116097,-6.1510856631405,7.69543379974345e-10,3.26544481277457e-08,"Dnah12","110083"
"Ighv7.1",193.254497097936,-7.63478892835262,1.44012545775324,-5.29453103360048,1.19322225349804e-07,2.87565177236751e-06,"Ighv7",NA
"Cbln1",17.6706121037811,7.61834313812469,1.35907144854111,5.59819216737417,2.16598586418771e-08,6.48545550965297e-07,"Cbln1","12404"
"Mcpt2",4267.54323849545,7.60860084041504,0.625243062156953,12.1530350360091,5.52748477306193e-34,5.73476545205176e-31,"Mcpt2","17225"
"Fam81a",8.11624648457407,-7.52152490849036,1.91507423630856,-3.92231526385595,8.7702132255563e-05,0.000844437530016437,"Fam81a","76886"
"Klra13.ps",15.9337157370889,-7.50740656721724,1.40945448362383,-5.3193676378543,1.0412853588736e-07,2.54495538240604e-06,"Klra13",NA
"Ighv1.42",59.2254097601438,-7.49001406054175,1.4950704850867,-5.00311800356888,5.64103860037181e-07,1.11477667578776e-05,"Ighv1",NA
"Epha2",15.5995704451689,-7.47881002851564,1.38964103156294,-5.37463262733067,7.67389811381947e-08,1.96100228893786e-06,"Epha2","13836"
"Igkv5.39",551.564123771013,-7.46342989274504,0.859238374980486,-8.67446113881298,4.15513302920346e-18,8.79785819958897e-16,"Igkv5",NA
"Gm49392",27.8420125802688,7.44475436417445,1.47272253581824,5.04830623783708,4.45744237602549e-07,9.00603011709142e-06,"Gm49392",NA
"Frmpd1",38.0083213439229,7.4345680745145,1.29702996183913,5.72428416687214,1.03870765080889e-08,3.41571850305617e-07,"Frmpd1","666060"
"Speg",18.6856969274707,7.4268036383621,1.40630664857596,5.27395902300001,1.3351173009338e-07,3.15531708364195e-06,"Speg","11790"
"Igkv4.57.1",120.763305826537,-7.40703299347305,1.30219268255443,-5.68044429412914,1.34345302849374e-08,4.25597715133515e-07,"Igkv4",NA
