"","SEDM_2P_1","SEDM_2P_2","SEDM_2P_3","SEEM_2P_1","SEEM_2P_2","SEEM_2P_3","SEEM_4P_1","SEEM_4P_2","SEEM_4P_3","PERKi_1","PERKi_2","PERKi_3","T_1","T_2","T_3","P1_dP_redoA_1","P2_dP_redoA_1","P3_dP_redoA_1"
"Klkb1",0,0,0,6,0,0,0,0,0,3,0,7,0,0,0,11,6,0
"Klra1",13,16,0,26,28,26,0,3,0,0,0,0,0,0,0,0,0,0
"Klra10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klra11.ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klra13.ps",41,35,20,70,29,49,0,0,0,0,4,0,0,0,0,0,0,0
"Klra14.ps",9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klra17",14,18,10,0,5,0,0,0,0,114,104,68,8,6,8,71,30,101
"Klra2",991,1168,948,65,64,42,131,84,72,663,763,975,434,518,989,1486,808,1080
"Klra3",0,0,0,9,12,10,0,0,0,0,0,0,0,0,0,0,0,0
"Klra4",15,17,0,27,20,18,0,0,0,4,0,0,0,0,0,0,2,0
"Klra5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klra6",10,3,4,30,30,17,0,0,0,0,0,0,0,0,0,0,0,0
"Klra7",57,62,29,181,98,132,0,0,0,0,0,13,8,0,11,0,0,0
"Klra8",20,12,8,37,17,41,0,0,0,0,0,0,0,0,0,0,0,0
"Klra9",6,19,0,28,6,9,0,0,0,0,0,0,0,10,0,0,0,0
"Klrb1",0,0,5,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0
"Klrb1.ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klrb1a",0,15,7,6,0,12,0,0,0,0,0,0,4,0,0,0,0,0
"Klrb1b",319,228,203,119,84,112,0,5,4,87,64,100,30,45,50,10,6,19
"Klrb1c",24,25,0,12,0,13,0,0,0,24,0,10,0,0,0,0,0,0
"Klrb1f",4643,5122,5244,283,329,423,713,578,660,1082,829,1218,2871,3256,4315,162,99,193
"Klrc1",61,78,43,71,75,78,0,0,0,8,27,12,7,0,6,10,0,10
"Klrc2",40,39,21,79,51,44,0,0,0,0,4,6,0,0,11,0,0,3
"Klrc3",0,5,0,6,6,3,6,0,0,0,0,0,0,0,0,0,0,0
"Klrd1",223,161,108,262,185,163,10,0,7,37,42,31,21,15,25,13,8,0
"Klre1",46,33,8,53,35,35,0,3,0,8,0,9,0,10,0,0,4,8
"Klrg1",0,0,0,10,3,10,0,0,7,8,0,0,3,0,0,7,0,5
"Klrg2",34,39,44,65,94,194,288,392,499,26,16,18,27,17,17,26,8,27
"Klrh1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klri1",15,13,0,35,43,77,4,0,0,5,0,0,0,0,0,0,0,0
"Klri2",71,60,36,84,60,105,0,0,0,9,0,21,14,6,13,5,4,0
"Klrk1",87,93,47,141,92,129,3,0,3,12,7,27,7,14,11,6,0,0
"Kmo",43,34,24,106,122,217,58,48,39,46,50,64,0,6,8,50,40,73
"Kmt2a",6680,6224,5845,8735,9619,8392,6748,7519,6986,6332,6332,5803,4845,5495,5983,4331,2570,4960
"Kmt2b",5643,5152,5413,6227,6570,6505,5606,5455,5235,6366,6082,5450,5168,5310,5637,5325,2824,5402
"Kmt2c",4800,4543,4802,4229,4533,3847,2771,2819,2929,4418,4131,4110,3550,3924,4621,2694,1727,3122
"Kmt2d",2559,2116,1067,3950,1960,1940,3315,1009,1218,8189,2190,4142,10531,6823,1804,8322,4750,9593
"Kmt2e",12146,12147,11360,8831,10007,9230,6584,6691,6496,9820,8915,8860,8876,10590,10393,9121,4768,8955
"Kmt5a",13262,12794,13229,10531,11311,11729,11696,12708,13451,13826,13357,14184,11850,13785,14401,11385,6515,10625
"Kmt5b",1673,1678,1710,1406,1447,1329,1275,1298,1199,1824,1772,2153,1823,1658,2127,1706,1125,1710
"Kmt5c",8569,8309,9048,6710,8164,8087,7820,6952,7064,6994,6822,6903,9096,9284,7847,5940,2867,5712
"Kmt5c.1",25,37,8,25,20,36,18,14,23,22,13,24,27,31,44,0,0,0
"Kncn",0,3,10,0,0,0,3,0,0,0,6,5,3,0,0,5,0,0
"Kndc1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Kng1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kng2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knl1",5040,4655,5086,5024,4313,3774,2960,3298,3247,4475,3955,3848,4453,4177,5922,574,325,937
"Knop1",688,687,504,2593,2507,2464,3306,3634,3504,1689,1538,1404,1125,894,995,1041,663,1228
"Knstrn",6092,6363,6850,3551,3728,3860,3601,3559,3742,3888,3607,4054,5970,6006,6755,1039,523,1444
